Spec Name,Km,K1,K2,K3,L,F,P,Pj,T,dK1geo,iK1geo,dK2geo,iK2geo,dK3geo,iK3geo,dK1pa1,iK1pa1,dK2pa1,iK2pa1,dK3pa1,iK3pa1,dK1te1,iK1te1,dK2te1,iK2te1,dK3te1,iK3te1,f1,dF1-B,iF1-B,dL1-B,iL1-B
NHX-01-01A,2.00E-03,2.03E-03,2.00E-03,1.97E-03,1.014,1.016,1.03,1.03,0.063,223.3,27,68.5,60.7,318.8,10.7,27.1,9,296.5,3.9,183.2,80.2,117.1,9,26.5,3.9,273.2,80.2,9.8,145,87,0,0
NHX-01-01B,1.87E-03,1.89E-03,1.88E-03,1.83E-03,1.003,1.027,1.03,1.033,0.782,49.2,18.9,187.8,65.4,314,15.1,73.7,6.4,342,14.9,186.3,73.7,163.7,6.4,72,14.9,276.3,73.7,16.3,145,87,0,0
NHX-01-01C,1.53E-03,1.54E-03,1.53E-03,1.51E-03,1.006,1.014,1.02,1.021,0.418,223.8,27.7,57.5,61.6,316.8,5.7,26.4,8.5,116.6,1.4,216.2,81.4,116.4,8.5,206.6,1.4,306.2,81.4,8.6,145,87,0,0
NHX-01-02A,1.88E-03,1.90E-03,1.88E-03,1.85E-03,1.013,1.016,1.029,1.029,0.101,229.9,20.9,79.3,66.3,324,10.6,33.8,3.7,303.4,6.7,152.2,82.3,123.8,3.7,33.4,6.7,242.2,82.3,7.7,145,87,0,0
NHX-01-02B,2.04E-03,2.07E-03,2.04E-03,2.01E-03,1.012,1.018,1.03,1.03,0.184,226.7,23.5,71.2,64.5,320.8,9.5,30.9,6.4,300.5,4.2,177.7,82.3,120.9,6.4,30.5,4.2,267.7,82.3,7.7,145,87,0,0
NHX-01-02C,1.80E-03,1.82E-03,1.81E-03,1.77E-03,1.005,1.022,1.027,1.029,0.656,45.7,0.6,137,65.7,315.4,24.3,55.1,9.4,321.5,21.1,167.7,66.7,145.1,9.4,51.5,21.1,257.7,66.7,23.3,145,87,0,0
NHX-02-01A,1.93E-03,1.97E-03,1.97E-03,1.86E-03,1.003,1.058,1.061,1.069,0.896,190.4,34,304.3,31,65.2,40.5,13.8,4.2,281.7,25.9,112.4,63.7,103.8,4.2,11.7,25.9,202.4,63.7,26.3,210,40,0,0
NHX-02-01B,1.93E-03,1.97E-03,1.96E-03,1.86E-03,1.003,1.055,1.058,1.066,0.889,213.1,29.9,309,10.2,55.8,58,32.7,10,300.2,13.6,157.9,73,122.7,10,30.2,13.6,247.9,73,17,210,40,0,0
NHX-02-02A,1.72E-03,1.75E-03,1.74E-03,1.66E-03,1.005,1.051,1.056,1.062,0.829,192.4,15.3,287.8,18.9,65.9,65.3,11.6,22.9,278.7,6.8,173,66,101.6,22.9,8.7,6.8,263,66,24,210,40,0,0
NHX-02-02B,1.64E-03,1.68E-03,1.67E-03,1.58E-03,1.007,1.056,1.064,1.07,0.758,178.6,16.2,275.4,22,55.2,62.2,358.2,18.2,267.5,2.2,170.9,71.6,88.2,18.2,357.5,2.2,260.9,71.6,18.4,210,40,0,0
NHX-02-02C,1.85E-03,1.88E-03,1.88E-03,1.78E-03,1.004,1.056,1.06,1.067,0.87,199.7,18.1,295.9,18.1,67.7,63.9,19.5,21.3,285.1,11.2,169.1,65.7,109.5,21.3,15.1,11.2,259.1,65.7,24.3,210,40,0,0
NHX-02-03A,2.00E-03,2.05E-03,2.04E-03,1.93E-03,1.006,1.056,1.063,1.069,0.797,198.1,16.7,289.1,3.5,30.6,73,17.6,22.5,109.4,4.3,209.6,67,107.6,22.5,199.4,4.3,299.6,67,23,210,40,0,0
NHX-02-03B,2.04E-03,2.08E-03,2.07E-03,1.96E-03,1.009,1.054,1.063,1.068,0.705,198.3,16.9,290.8,8.3,46,71.1,17.9,22.3,287.7,0.5,196.4,67.7,107.9,22.3,17.7,0.5,286.4,67.7,22.3,210,40,0,0
NHX-02-03C,1.90E-03,1.94E-03,1.93E-03,1.83E-03,1.005,1.052,1.058,1.064,0.808,200.4,18.6,294.6,12.2,55.9,67.5,20.3,20.8,288,5.9,183.1,68.3,110.3,20.8,18,5.9,273.1,68.3,21.7,210,40,0,0
NHX-02-03D,1.84E-03,1.88E-03,1.87E-03,1.78E-03,1.007,1.053,1.06,1.066,0.768,188.9,15.2,283,14.7,55.1,68.6,7.9,22.2,277.6,0.7,185.9,67.8,97.9,22.2,7.6,0.7,275.9,67.8,22.2,210,40,0,0
NHX-03-01A,4.08E-03,4.15E-03,4.09E-03,4.01E-03,1.013,1.021,1.034,1.034,0.22,233.6,12.8,133.5,37.7,339,49.5,51.6,8.3,320.2,9,183.7,77.7,141.6,8.3,50.2,9,273.7,77.7,12.3,165,52,0,0
NHX-03-02A,3.98E-03,4.04E-03,3.99E-03,3.91E-03,1.013,1.022,1.035,1.036,0.265,236,11.1,136.8,39.2,338.9,48.7,54.5,7.7,323.3,8.6,185.6,78.4,144.5,7.7,53.3,8.6,275.6,78.4,11.6,165,52,0,0
NHX-03-03A,3.99E-03,4.05E-03,4.00E-03,3.91E-03,1.012,1.025,1.038,1.039,0.352,53.7,7.6,317.1,40.8,152.3,48.2,67.8,21.4,238.9,68.4,336.6,3,157.8,21.4,328.9,68.4,66.6,3,87,165,52,0,0
NHX-03-04A,3.83E-03,3.88E-03,3.85E-03,3.74E-03,1.01,1.027,1.037,1.039,0.477,55.5,6.9,319,43.2,152.7,46,68.3,19.5,232,69.7,336.4,5.3,158.3,19.5,322,69.7,66.4,5.3,84.7,165,52,0,0
NHX-03-04C,3.82E-03,3.88E-03,3.85E-03,3.74E-03,1.009,1.028,1.037,1.039,0.51,52.6,8.4,314.5,43.8,151,45,67.7,22.8,231.1,66.4,335.1,6,157.7,22.8,321.1,66.4,65.1,6,84,165,52,0,0
NHX-03-04C,3.89E-03,3.95E-03,3.91E-03,3.81E-03,1.01,1.028,1.038,1.039,0.491,52.2,10.6,311.6,44.4,152.4,43.6,69.3,24.4,229.8,64.3,335.9,7.6,159.3,24.4,319.8,64.3,65.9,7.6,82.4,165,52,0,0
NHX-04-01B,2.87E-03,2.96E-03,2.92E-03,2.75E-03,1.013,1.063,1.077,1.082,0.652,233.1,18,330.4,21.4,106.4,61.5,239.1,4.6,148.5,7.2,1.5,81.4,329.1,4.6,238.5,7.2,91.5,81.4,8.6,302,32,0,0
NHX-04-01B,3.06E-03,3.14E-03,3.10E-03,2.94E-03,1.013,1.053,1.067,1.071,0.6,225.5,16.4,322.1,21.5,101.1,62.4,232,7,140.9,8.8,360,78.8,322,7,230.9,8.8,90,78.8,11.2,302,32,0,0
NHX-04-02A,2.76E-03,2.82E-03,2.79E-03,2.67E-03,1.008,1.047,1.055,1.06,0.714,226.7,23.9,328.5,24.8,98.6,54.4,236.9,12.7,146,4.3,37.6,76.6,326.9,12.7,236,4.3,127.6,76.6,13.4,302,32,0,0
NHX-04-03A,3.44E-03,3.55E-03,3.50E-03,3.27E-03,1.015,1.07,1.086,1.092,0.642,221.1,19,320.7,26.1,99.4,56.8,229.7,11.3,138.8,4.4,27.8,77.8,319.7,11.3,228.8,4.4,117.8,77.8,12.2,302,32,0,0
NHX-04-03B,3.38E-03,3.50E-03,3.45E-03,3.21E-03,1.014,1.075,1.09,1.097,0.681,226.4,24.9,329.5,26.1,99.2,52.5,237.2,13.7,146.5,2.8,45.3,76,327.2,13.7,236.5,2.8,135.3,76,14,302,32,0,0
NHX-05-01A,2.83E-03,2.87E-03,2.85E-03,2.77E-03,1.007,1.03,1.037,1.04,0.625,204.4,3.1,113.8,11.2,309.5,78.4,205.1,14.3,111.2,14.8,337.3,69.2,295.1,14.3,201.2,14.8,67.3,69.2,20.8,5,12,0,0
NHX-05-02A,2.90E-03,2.95E-03,2.93E-03,2.82E-03,1.007,1.039,1.046,1.049,0.691,9.8,14.8,100.3,1.6,196.5,75.1,9.7,2.8,99.8,2.7,233.6,86.1,99.7,2.8,189.8,2.7,323.6,86.1,3.9,5,12,0,0
NHX-05-03A,3.57E-03,3.61E-03,3.59E-03,3.52E-03,1.007,1.02,1.027,1.028,0.49,1.9,10.6,94,11,229.1,74.6,181.9,1.4,91.7,10.6,279.4,79.3,271.9,1.4,181.7,10.6,9.4,79.3,10.7,5,12,0,0
NHX-05-04A,3.08E-03,3.12E-03,3.10E-03,3.02E-03,1.007,1.028,1.035,1.037,0.584,18.7,11.7,109.8,5.2,223.1,77.1,18.4,0.1,108.4,8.1,288,81.9,108.4,0.1,198.4,8.1,18,81.9,8.1,5,12,0,0
NHX-06-02A,4.37E-03,4.39E-03,4.38E-03,4.33E-03,1.002,1.013,1.015,1.017,0.704,46.2,9.9,299.3,58.9,141.8,29.1,225.2,7.6,317,13.2,106,74.7,315.2,7.6,47,13.2,196,74.7,15.3,335,50,0,0
NHX-07-01A,2.70E-03,2.75E-03,2.70E-03,2.64E-03,1.017,1.023,1.04,1.04,0.137,225.9,5.9,323.9,53.4,131.6,36,220.1,14.9,21.5,74.3,128.8,4.8,310.1,14.9,111.5,74.3,218.8,4.8,85.2,117,32,0,0
NHX-07-02A,2.74E-03,2.78E-03,2.75E-03,2.68E-03,1.012,1.027,1.039,1.04,0.362,227.1,2.4,320.2,51.8,135.3,38.1,223,12.6,11.8,75.4,131.4,7.3,313,12.6,101.8,75.4,221.4,7.3,82.7,117,32,0,0
NHX-07-03A,2.74E-03,2.79E-03,2.74E-03,2.68E-03,1.016,1.023,1.039,1.039,0.188,43.7,0.5,313,51.3,134.1,38.7,221.5,8.3,358,78.6,130.4,7.7,311.5,8.3,88,78.6,220.4,7.7,82.3,117,32,0,0
NHX-07-03B,2.74E-03,2.79E-03,2.75E-03,2.68E-03,1.016,1.026,1.042,1.042,0.223,224.4,5.7,323,56.3,130.6,33.1,218.8,14,31.2,75.9,128.4,1.8,308.8,14,121.2,75.9,218.4,1.8,88.2,117,32,0,0
NHX-08-01A,3.11E-03,3.16E-03,3.12E-03,3.06E-03,1.013,1.019,1.032,1.032,0.174,43.1,8.8,311.6,9.5,175.2,77,222.6,2.6,132.6,0.2,38,87.4,312.6,2.6,222.6,0.2,128,87.4,2.6,2,15,0,0
NHX-08-02A,3.05E-03,3.10E-03,3.05E-03,2.99E-03,1.014,1.021,1.035,1.036,0.206,42,12,310.1,9.2,183.5,74.8,41,0.4,131,0.2,243.1,89.6,131,0.4,221,0.2,333.1,89.6,0.4,2,15,0,0
NHX-09-01A,3.39E-03,3.50E-03,3.41E-03,3.25E-03,1.025,1.05,1.076,1.078,0.33,32.2,3.3,123.4,20,293.2,69.7,37.1,12.9,304,13.6,168.9,71.1,127.1,12.9,34,13.6,258.9,71.1,18.9,140,35,0,0
NHX-09-02A,3.20E-03,3.32E-03,3.19E-03,3.08E-03,1.039,1.037,1.077,1.077,-0.02,33.6,7.5,124.3,5.1,248.2,80.9,40.8,15.6,302.1,28.5,156,56.9,130.8,15.6,32.1,28.5,246,56.9,33.1,140,35,0,0
NHX-10-01A,2.23E-03,2.30E-03,2.26E-03,2.15E-03,1.018,1.053,1.072,1.075,0.476,251.4,0.5,161.1,39.2,342,50.8,247.6,12.5,156.2,5.9,41.3,76.1,337.6,12.5,246.2,5.9,131.3,76.1,13.9,140,35,0,0
NHX-10-02A,2.15E-03,2.21E-03,2.18E-03,2.06E-03,1.016,1.057,1.073,1.077,0.565,79.8,0.4,170.2,39.5,349.3,50.5,255.4,16.2,163.1,8,47.8,71.9,345.4,16.2,253.1,8,137.8,71.9,18.1,140,35,0,0
NHX-10-02B,2.52E-03,2.60E-03,2.55E-03,2.40E-03,1.02,1.061,1.082,1.085,0.508,252.1,4.6,158.8,35.7,348.5,53.9,245.8,16.4,155.2,2.2,57.9,73.5,335.8,16.4,245.2,2.2,147.9,73.5,16.5,140,35,0,0
NHX-11-01A,2.94E-03,3.04E-03,2.98E-03,2.81E-03,1.021,1.058,1.08,1.083,0.458,229.9,1.2,139.1,35.8,321.5,54.2,228.3,3.8,318.3,0.2,50.8,86.2,318.3,3.8,48.3,0.2,140.8,86.2,3.8,135,36,0,0
NHX-11-02A,2.88E-03,2.97E-03,2.92E-03,2.75E-03,1.019,1.059,1.08,1.083,0.506,232.7,39.2,330.6,9.6,72,49.2,204.5,34.9,336.6,43.9,94.6,26,294.5,34.9,66.6,43.9,184.6,26,64,135,36,0,0
NHX-12-01A,2.47E-03,2.51E-03,2.46E-03,2.43E-03,1.024,1.012,1.037,1.037,-0.333,158.5,67.2,297.3,17.6,31.8,14.1,21.1,75.6,121.2,2.6,211.9,14.2,111.1,75.6,211.2,2.6,301.9,14.2,75.8,355,35,0,0
NHX-12-02A,2.46E-03,2.50E-03,2.45E-03,2.42E-03,1.018,1.014,1.032,1.032,-0.145,157.4,74.6,305,13.1,36.9,8,8,69.2,125.8,10,219.1,18,98,69.2,215.8,10,309.1,18,72,355,35,0,0
NHX-13-01A,3.28E-03,3.46E-03,3.37E-03,3.00E-03,1.027,1.123,1.153,1.164,0.625,240.6,38.2,49.8,51.3,146.4,5.3,273.5,3.1,3.8,6.1,156.9,83.1,3.5,3.1,93.8,6.1,246.9,83.1,6.9,325,78,0,0
NHX-13-02A,4.75E-03,4.92E-03,4.78E-03,4.54E-03,1.029,1.053,1.084,1.085,0.292,243.4,42.6,52.4,46.9,148.3,5.5,278.2,2,8.5,6.9,172,82.8,8.2,2,98.5,6.9,262,82.8,7.2,325,78,0,0
NHX-13-03A,3.20E-03,3.37E-03,3.31E-03,2.93E-03,1.018,1.129,1.15,1.164,0.743,238,41.7,45.9,47.7,142.6,6.1,276.4,5.7,6.7,2.9,123.1,83.6,6.4,5.7,96.7,2.9,213.1,83.6,6.4,325,78,0,0
NHX-13-03B,3.08E-03,3.25E-03,3.18E-03,2.81E-03,1.023,1.13,1.156,1.169,0.684,237,49.4,49.1,40.3,142.4,3.9,284,7.8,14.5,3.3,127.3,81.5,14,7.8,104.5,3.3,217.3,81.5,8.5,325,78,0,0
NHX-14-01A,3.27E-03,3.42E-03,3.24E-03,3.14E-03,1.058,1.031,1.09,1.092,-0.298,221.1,59.4,113.4,10.2,17.8,28.5,17,79.9,109.6,0.5,199.7,10.1,107,79.9,199.6,0.5,289.7,10.1,79.9,35,40,0,0
NHX-14-02A,3.34E-03,3.49E-03,3.31E-03,3.21E-03,1.054,1.029,1.085,1.086,-0.295,223.4,54.8,110.5,15.3,11.1,30.8,351.7,83,104.2,2.7,194.5,6.5,81.7,83,194.2,2.7,284.5,6.5,83.5,35,40,0,0
NHX-14-03A,3.97E-03,4.14E-03,3.95E-03,3.83E-03,1.048,1.031,1.081,1.081,-0.22,221,59.3,107.1,13.5,10.1,26.9,17.1,80,282.7,0.8,192.6,9.9,107.1,80,12.7,0.8,282.6,9.9,80.1,35,40,0,0
NHX-15-01A,2.02E-03,2.09E-03,1.99E-03,1.97E-03,1.053,1.011,1.064,1.069,-0.661,221.9,31,74.2,54.6,321.4,15.4,248.6,49.3,40.7,37.3,141.7,14.1,338.6,49.3,130.7,37.3,231.7,14.1,75.9,355,35,0,0
NHX-15-02A,2.10E-03,2.17E-03,2.07E-03,2.06E-03,1.048,1.008,1.057,1.061,-0.697,227.7,34.9,96.3,43.4,338.1,26.5,258.2,48.9,63.7,40.2,159.8,7.2,348.2,48.9,153.7,40.2,249.8,7.2,82.8,355,35,0,0
NHX-15-03A,2.43E-03,2.53E-03,2.39E-03,2.37E-03,1.059,1.007,1.067,1.073,-0.776,225.7,29.8,15.7,56.5,127.5,13.8,251.2,46.3,7.2,22.8,114.2,34.9,341.2,46.3,97.2,22.8,204.2,34.9,55.1,355,35,0,0
NHX-16-01A,1.33E-03,1.36E-03,1.35E-03,1.30E-03,1.005,1.039,1.044,1.048,0.748,23.4,27.3,273.2,33.7,143.2,44,192.7,3.6,102.2,8.6,305.4,80.7,282.7,3.6,192.2,8.6,35.4,80.7,9.3,320,55,0,0
NHX-16-01B,1.44E-03,1.46E-03,1.45E-03,1.40E-03,1.008,1.038,1.046,1.049,0.649,26.9,14.2,286.1,36.6,134.3,49.9,204.8,9.9,112.8,11.8,333.8,74.5,294.8,9.9,202.8,11.8,63.8,74.5,15.5,320,55,0,0
NHX-17-01A,2.52E-03,2.63E-03,2.51E-03,2.42E-03,1.048,1.036,1.086,1.086,-0.149,220.3,22.2,335.7,46.4,113.5,35.3,45.4,4.1,313.9,20.5,146.2,69,135.4,4.1,43.9,20.5,236.2,69,21,273,40,0,0
NHX-17-02A,3.03E-03,3.17E-03,3.01E-03,2.91E-03,1.054,1.034,1.09,1.09,-0.225,208.7,24.4,57.3,62.6,304,11.6,217.7,3.6,316.3,67,126.2,22.7,307.7,3.6,46.3,67,216.2,22.7,67.3,273,40,0,0
NHX-17-03A,3.45E-03,3.66E-03,3.44E-03,3.25E-03,1.064,1.059,1.127,1.127,-0.035,211,25.5,50.6,63.1,304.7,7.9,220,3.3,316.8,63.9,128.4,25.9,310,3.3,46.8,63.9,218.4,25.9,64.1,273,40,0,0
NHX-18-01A,4.35E-03,4.54E-03,4.38E-03,4.13E-03,1.035,1.061,1.098,1.1,0.263,216.6,23,115.1,25.2,343.3,54.7,33.3,0.1,123.3,11.3,302.6,78.7,123.3,0.1,213.3,11.3,32.6,78.7,11.3,180,28,0,0
NHX-18-02A,4.14E-03,4.31E-03,4.16E-03,3.96E-03,1.035,1.052,1.089,1.09,0.19,207.5,27,102.9,26.2,336,50.7,204.3,1.7,113.8,17.2,299.7,72.7,294.3,1.7,203.8,17.2,29.7,72.7,17.3,180,28,0,0
